text,label,language,depression_prob,toxicity_prob_en,toxicity_prob_lang,toxicity_prob_ur_ctx,toxicity_prob_ur_ctx_A,toxicity_prob_ur_ctx_B,toxicity_prob_ur_ctx_C,toxicity_prob_ur_ctx_A_deep,toxicity_prob_ur_ctx_B_deep,toxicity_prob_ur_ctx_C_deep
"Salute to these Pakistani fans, cheering up in this situation as well.",0.0,ur,0.05,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Love from pakistan your brotherhood country,0.0,ur,0.001,0.001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistanis are inherently racist towards Americans,1.0,ur,0.001,0.6,0.7,0.2,0.65,0.65,0.65,0.85,0.95,0.85
Muslims always have to bring up Islam when the conversation turns to anything else.,1.0,ur,0.1,0.6,0.7,0.2,0.2,0.45,0.65,0.65,0.65,0.75
"Real spiritual knowledge In Fazile Amal it is written that ""Kabir Allah is All-powerful and Allah kabir is the All-exalted, the All-great...",0.0,ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eid mubarak to everyone celebrating xx,0.0,ur,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All the retards are becoming the presidents/prime ministers This is one of the signs that yaumal qiyamah is close,1.0,ur,0.2,0.8,0.8,0.85,0.85,0.85,0.85,0.95,0.95,0.95
"May Allah Swt bring you joy, happiness, peace and prosperity on this blessed occasion. Wishing you and your family Happy Eid! URL",0.0,ur,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eîd moubarak à vous et été famille záhid sáhib.,0.0,ur,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shab e Qadar mubarak to all my muslim friends...Love From india,0.0,ur,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Imran invites Pakistani community to take benefit of investment opportunities in Pakistan URL,0.0,ur,0.0,0.1,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0
"Khud ko alag rakho, Muslimon se pehle.",1.0,ur,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.75,0.75,0.75
Pakistan ke logon ko main kabhi bhi pasand nahi karta,1.0,ur,0.1,0.3,0.8,0.0,0.2,0.2,0.2,0.65,0.8,0.85
RIP. Thank you for granting visas to Pakistanis for liver transplants. URL,0.0,ur,0.05,0.1,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0
Eid Mubakar to all our brothers and sisters. May we have peace and understanding,0.0,ur,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eid Mubarak to everyone and your families!,0.0,ur,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"You can fight with the Muslims, you are the coward peoples of world's.",1.0,ur,0.001,0.8,0.8,0.75,0.85,0.85,0.85,0.95,0.85,0.95
Wishing joyful Eid Mubarak to all celebrating Eid ul Fitr across the world. May this Eid be of tremendous blessings! URL,0.0,ur,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramazan has always proved a blessing for PAKISTAN. 27th Ramazan when Pakistan came into existence,0.0,ur,0.001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whole Pakistan Muslim League N In One Frame..!! Madam Maryam Nawaz Sharif More Power To You  URL,0.0,ur,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0
Celebrated Eid al-Fitr with Muslim colleagues and friends alike.,0.0,ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ya Allah !! Bless our parents with healthy life,0.0,ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pakistanis are deceitful and untrustworthy, always trying to cheat.",1.0,ur,0.0,0.85,0.9,0.85,0.85,0.85,0.85,0.95,0.95,0.98
"Masha'Allah, Happy Birthday brother... May Allah bless you and the Family  URL",0.0,ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan come back in last matches deserve to be appreciated love from loc kargil,0.0,ur,0.001,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05
"He will make sure each and every jihadi bastard in your country will die a painful death, and your rogue state Naapak Pakistan will be finished forever URL",1.0,ur,0.0,0.95,0.9,0.85,0.85,0.85,0.95,0.99,0.975,0.99
Eid Mubarak! Happy Eid-al-Fitr to all the celebrating!,0.0,ur,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan team leaving for prayer in Nottingham. URL,0.0,ur,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corruption is a menace. The rampant corruption done in past regimes by corruptors. Now Pakistanis want that looted money back.,0.0,ur,0.0,0.8,0.9,0.0,0.0,0.0,0.2,0.1,0.0,0.05
Respected the Islamic holy month of Dhu al-Hijjah's significance.,0.0,ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dear Allah, please give me a strength atleast once.",0.0,ur,0.65,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MashAllah Beautiful Blessing Of Allah,0.0,ur,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eid Mubarak Everyone!!!  May Allah unite all Muslims, show us the right path, and bless us with good health.",0.0,ur,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaheen \,0.0,ur,0.001,0.001,0.1,0.0,0.0,0.001,0.15,0.0,0.0,0.0
Eid Mubarak to everyday celebrating today. Have a blessed Eid :),0.0,ur,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prophet PBUH is last prophet of Allah  Ihsan Marwat URL,0.0,ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
Aur unke Pakistan ki sarkar bahut behtareen hai,1.0,ur,0.1,0.2,0.1,0.0,0.2,0.2,0.2,0.0,0.0,0.0
Inshallah New Zealand wins the FINAL!,0.0,ur,0.001,0.1,0.1,0.0,0.1,0.001,0.1,0.0,0.0,0.0
Eid mubarak to you and respected family Zahid sahib.,0.0,ur,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MashAllah. Seeing Muslims from all different countries just warms my heart.,0.0,ur,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"EID MUBARAK to you and your loved ones. May Allah (God) accept your fasting, prayers, and good deeds. — celebrating Eid",0.0,ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Musalmanon ki duniya kaafi aisi hai jahan koi asli imandar nahin hai. Unka khayal humein pasand nahi hai.,1.0,ur,0.25,0.7,0.8,0.2,0.65,0.65,0.65,0.85,0.75,0.9
"Eid Mubarak! That was so kind of them, thank you for posting this here",0.0,ur,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Your Allah is none other than the devil himself!,1.0,ur,0.001,0.9,1.0,0.95,0.95,0.85,0.95,0.95,0.999,0.95
Eid Mubarak to all my Muslim brothers,0.0,ur,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eid Mubarak To Those Celebrating Today and Tomorrow,0.0,ur,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistani army ready go to 'any extent' to support Kashmiris – chief of staff URL URL,0.0,ur,0.0,0.85,0.8,0.0,0.15,0.15,0.85,0.15,0.15,0.65
And 10 Pakistani street shit eaters,1.0,ur,0.001,0.85,0.9,0.85,0.85,0.85,0.85,0.99,0.99,0.99
"Hazrat Mirza Masroor Ahmad ""Focus on those things that unite them""",0.0,ur,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
Latest: Islam believers celebrate Last Friday of the holy month of Ramzan 2019 URL,0.0,ur,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
May the Almighty Allah grant the departed soul His Eternal Peace. Ameen,0.0,ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salaam brother! Good job! ANELE Clap,0.0,ur,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"i swear, pakistanis are the most annoying people on earth",1.0,ur,0.001,0.8,0.8,0.2,0.65,0.65,0.85,0.85,0.95,0.95
Muslim voices deserve equal representation in decision-making.,0.0,ur,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.001
Eid Mubarak brother! Inshallah this Ramadan was as uplifting for you as it was for me,0.0,ur,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Khair Mubarak sir. May this eid may Allah bring us De ligt, fernandez and many more",0.0,ur,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wishing each other on Eid deepens the bond of love and brotherhood. Blessed Eid ul-Fitr to all of you. * Eid Mubarak.,0.0,ur,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Happy Eid Mubarak in advance to all Muslims,0.0,ur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
May Allah destroy all the blasphemer around the world!,1.0,ur,0.0,0.8,0.9,0.85,0.85,0.85,0.85,0.75,0.85,0.85
"Haram kareedo LGBTQ, unhein ghar par nahin rakhna chahiye.",1.0,ur,0.0,0.8,0.9,0.85,0.85,0.85,0.85,0.95,0.95,0.95
