text,label,language,depression_prob,text_en,text_zh,depression_prob_en,depression_prob_zh
ਜੇਵੀਸ ਲੋਕਾਂ ਦੇ ਆਪਣੇ ਅਧਿਕਾਰਾਂ ਬਾਰੇ ਜਾਗਰੂਕਤਾ ਨੂੰ ਵਧਾਉਣਾ ਚਾਹੀਦਾ ਹੈ।,0.0,pa,0.0,JV should increase awareness among people about their own rights.,政府应提高民众对自身权利的认识。,0.0,0.1
"Rawalpindi express is still the fastest bowler in the world, pride of pindi boys/ Pakistan",0.0,ur,0.0,"The Rawalpindi Express remains the world's fastest bowler, the pride of Pindi boys and Pakistan.",拉瓦尔品第快车依然是全球最快的投球手，他是品第男孩们的骄傲，也是巴基斯坦的骄傲。,0.0,0.0
Salute to every SIKH,0.0,pa,0.001,Salute to every Sikh.,向每一位锡克教徒致敬,0.0,0.0
"ਮੇਰੇ ਅਨੁਸਾਰ, ਪੈਰਾਪਿਗਲੋ ਆਪਣੀ ਜ਼ਿੰਦਗੀ ਬਚਾਉਣ ਵਾਲੇ ਨੂੰ ਕਮਜ਼ੌਰ ਹੈ।",1.0,pa,0.65,"In my opinion, Parapiglo is weak against the one who saved his life.",在我看来，帕拉皮格洛对拯救他生命的人显得软弱。,0.001,0.1
"Hey, Filipino friends! Who's up for trying some delicious Filipino food tonight?",0.0,tl,0.0,"Hey, Filipino friends! Who's up for trying some delicious Filipino food tonight?",嘿，菲律宾的朋友们！今晚谁想尝尝美味的菲律宾菜？,0.001,0.001
ਤੁਸੀਂ ਪੈਰਾਪਿਗਲੋ ਜ਼ਿੰਦਗੀ ਬਚਾਉਣ ਵਾਲੇ ਨੂੰ ਕਮਜ਼ੌਰ ਅਖਵਾਉਣ ਵਾਲੇ ਹੋ।,1.0,pa,0.25,You are calling the lifesaving paraplegic weak.,你是在贬低拯救生命的英雄。,0.1,0.0
ਜੇਵਿਸ਼ ਉਮਰ ਨਾਲ ਨਹੀਂ ਬਦਲਦੇ ਅਤੇ ਉਹ ਕਈ ਉਮਰਾਂ ਤੱਕ ਜੀਵਿਤ ਹਨ,0.0,pa,0.25,Jews do not change with age and they live for many ages.,犹太人不会随年龄而改变，他们能活到许多岁。,0.001,0.0
"ਉਸ ਅਮਰੀਕੀ ਜ਼ਿੰਦਗੀ 'ਚ ਜੋ ਵਾਤ ਆਈ, ਉਸ 'ਤੇ ਮੈਂ ਖ਼ੁਸ਼ ਹਾਂ।",1.0,pa,0.15,I am happy with the life I have found in America.,我很高兴能融入美国生活的氛围。,0.001,0.001
"मि्निीँ कमेतैहदे
- पीिमे बीिमे भैहतैह ने
- पीिमे ँकमे बीिमे भैहतैह ने
- पीिमे ँकमे बीिमे भैहतैह ने",1.0,ne,0.75,"My dear friends
- I am not your brother
- I am not your brother
- I am not your brother","迷你委员会
- 由主席和副主席组成
- 由主席和副主席组成
- 由主席和副主席组成",0.001,0.0
But Buddha was born in Nepal and Everest is in Nepal. I love my country and I am proud of everything.,0.0,ne,0.0,But Buddha was born in Nepal and Everest is in Nepal. I love my country and I am proud of everything.,但佛陀诞生于尼泊尔，珠穆朗玛峰也坐落于此。我深爱我的祖国，并为之感到无比自豪。,0.0,0.0
नेपाली लोग अपने ग्रामीण जीवन में इतने असफल हैं कि वे अपने बच्चों को शहर में रहने के लिए भेजते हैं।,1.0,ne,0.65,Nepali people are so unsuccessful in their rural lives that they send their children to live in the city.,尼泊尔人在乡村生活中遭遇诸多困境，以至于他们不得不将子女送往城市谋生。,0.1,0.15
Hijabi brides have a different type of Beauty and it's just mA,0.0,ur,0.001,"Hijabi brides possess a unique kind of beauty, and it's simply amazing.",戴头纱的新娘有着别样的美，这正是真主赐予的恩典。,0.001,0.0
