text,label,language,depression_prob,text_en,text_zh,depression_prob_en,depression_prob_zh
ਜੇਵੀਸ ਲੋਕਾਂ ਦੇ ਆਪਣੇ ਅਧਿਕਾਰਾਂ ਬਾਰੇ ਜਾਗਰੂਕਤਾ ਨੂੰ ਵਧਾਉਣਾ ਚਾਹੀਦਾ ਹੈ।,0.0,pa,0.0,JV should raise awareness among people about their own rights.,政府应提高民众对自身权利的认识。,0.0,0.05
"Rawalpindi express is still the fastest bowler in the world, pride of pindi boys/ Pakistan",0.0,ur,0.0,"The Rawalpindi Express remains the world's fastest bowler, the pride of Pindi boys and Pakistan.",拉瓦尔品第快车依然是全球最快的投球手，他是品第男孩们的骄傲，也是巴基斯坦的骄傲。,0.0,0.0
Salute to every SIKH,0.0,pa,0.001,Salute to every Sikh.,向每一位锡克教徒致敬。,0.001,0.0
"ਮੇਰੇ ਅਨੁਸਾਰ, ਪੈਰਾਪਿਗਲੋ ਆਪਣੀ ਜ਼ਿੰਦਗੀ ਬਚਾਉਣ ਵਾਲੇ ਨੂੰ ਕਮਜ਼ੌਰ ਹੈ।",1.0,pa,0.65,"In my opinion, Parapiglo is weak to the one who saves his life.",在我看来，帕拉皮格洛对于拯救他生命的人来说是脆弱的。,0.0,0.1
"Hey, Filipino friends! Who's up for trying some delicious Filipino food tonight?",0.0,tl,0.0,"Hey, Filipino friends! Who's up for trying some delicious Filipino food tonight?",嘿，菲律宾的朋友们！今晚谁想尝尝美味的菲律宾菜？,0.0,0.001
ਤੁਸੀਂ ਪੈਰਾਪਿਗਲੋ ਜ਼ਿੰਦਗੀ ਬਚਾਉਣ ਵਾਲੇ ਨੂੰ ਕਮਜ਼ੌਰ ਅਖਵਾਉਣ ਵਾਲੇ ਹੋ।,1.0,pa,0.25,You are calling the lifesaving paraplegic weak.,你是在贬低拯救生命的英雄。,0.1,0.0
ਜੇਵਿਸ਼ ਉਮਰ ਨਾਲ ਨਹੀਂ ਬਦਲਦੇ ਅਤੇ ਉਹ ਕਈ ਉਮਰਾਂ ਤੱਕ ਜੀਵਿਤ ਹਨ,0.0,pa,0.25,Jews do not change with age and they live for many ages.,犹太人不会随年龄而改变，他们能活到许多岁。,0.001,0.0
"ਉਸ ਅਮਰੀਕੀ ਜ਼ਿੰਦਗੀ 'ਚ ਜੋ ਵਾਤ ਆਈ, ਉਸ 'ਤੇ ਮੈਂ ਖ਼ੁਸ਼ ਹਾਂ।",1.0,pa,0.15,I am happy with the life I have found in America.,我很高兴能融入美国的生活氛围。,0.001,0.001
Hijabi brides have a different type of Beauty and it's just mA,0.0,ur,0.001,"Hijabi brides possess a unique kind of beauty, and it's simply amazing.",戴头纱的新娘有着别样的美，这正是真主赐予的恩典。,0.001,0.0
"ਉਸ ਦੀਆਂ ਵਿਅਕਤੀਗਤ ਪ੍ਰਮੁੱਖਤਾਵਾਂ, ਜਿਵੇਂ ਕਿ ਉਸ ਦੇ ਭੈਣ-ਭਰਾ ਅਤੇ ਦਾਦੀ ਪੁੱਤਰ, ਨੂੰ ਮਨੁੱਖੀ ਜਗਤ ਵਿੱਚ ਸਫਲਤਾ ਦੇ ਕਾਰਨ ਬਣਾਉਣ ਦੀ ਯੋਗਤਾ ਹੈ। ਪਰ, ਇਹ ਵੀ ਵਿਚਾਰ ਦਿੰਦਾ ਹੈ: 1) ਕਿ ਉਸ ਨੂੰ ਆਪਣੇ ਭੈਣ-ਭਰਾ ਅਤੇ ਦਾਦੀ ਪੁੱਤਰ ਹੋਣ ਕਰਕੇ ਸਫਲਤਾ ਮਿਲਦੀ ਹੈ, ਜਿਸ ਨਾਲ ਅਨਯਾਈ ਪਰਿਵਾਰਾਂ ਦੇ ਬਚਣ ਦੀ ਖ਼ਾਤਰ ਹੋ ਸਕਦਾ ਹੈ 2) ਇਹ ਵੱਡੇ ਮਨੁੱਖ ਲਈ ਉਸ ਦੇ ਭੈਣ-ਭਰਾ ਅਤੇ ਦਾਦੀ ਪੁੱਤਰ ਹੋਣ ਦੀ ਗੱਲ ਕਰਦਾ ਹੈ, ਜਿਸ ਨਾਲ ਵਿਅਕਤੀਗਤ ਪ੍ਰਮੁੱਖਤਾਵਾਂ ਬਾਰੇ ਵਿਆਪਕ ਸਾਹਮਣੇ ਲਿਆਉਣ ਦੀ ਗੱਲ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ 3) ਇਹ ਵੀ ਸ਼ਖ਼ਸੀਅਤ ਬਾਰੇ ਵਿਆਪਕ ਸਾਹਮਣੇ ਲਿਆਉਣ ਦੀ ਗੱਲ ਕਰਦਾ ਹੈ, ਜਿਸ ਨਾਲ ਅਨਯਾਈ ਵਿਚਾਰਾਂ ਬਣਨ ਦੀ ਖ਼ਾਤਰ ਹੋ ਸਕਦੇ ਹਨ। ਉਸ ਦੀ ਪ੍ਰਮੁੱਖਤਾ ਅਤੇ ਵਿਆਪਕ ਸਾਹਮਣੇ ਲਿਆਉਣ ਦੀ ਗੱਲ ਬਾਰੇ ਵਿਚਾਰਨ ਅਤੇ ਸਮਝਣ ਦੀ ਜ਼ਰੂਰਤ ਹੈ।",0.0,pa,0.0,"His personal attributes, such as his siblings and grandson, have the ability to become reasons for success in the human world. However, it also raises the consideration that: 1) he achieves success because of having siblings and a grandson, which could lead to the survival of other families; 2) it speaks of his siblings and grandson for the greater human good, thereby discussing the broader presentation of personal attributes; 3) it also discusses the broader presentation of personality, which could lead to the formation of other ideas. There is a need to reflect on and understand the discussion about his prominence and broader presentation.",她个人的突出特质，如她的兄弟姐妹和祖母的孙子，有能力成为在人类世界中取得成功的原因。然而，这也引发思考：1）她之所以成功，是因为拥有兄弟姐妹和祖母的孙子，这可能有助于非传统家庭的生存；2）对于更广泛的人类而言，她拥有兄弟姐妹和祖母的孙子这一点，引出了关于个人突出特质的广泛讨论；3）这也涉及个性的广泛展现，可能促成非传统观念的形成。有必要对她的突出特质及其广泛影响进行思考和理解。,0.0,0.0
