text,label,language,toxicity_prob_en
"É importante reconhecer e valorizar a diversidade cultural e racial dos afrodescendentes, trabalhando para abordar as desigualdades históricas e sistêmicas que afetam suas vidas. Isso inclui esforços para promover igualdade de oportunidades, combater o racismo institucional e criar espaços seguros para a expressão e o desenvolvimento.",0.0,pt,0.01
ผัดพริกกระเทียมมันหอมหวาน ผักชีฝรั่งผัดกะเพรา ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด ผัดผักผสมผัดไข่ผัดซอสเผ็ด,0.0,th,0.0
"\n- Check the link in the bio for more places --\nTo all the disabled people of Twitter, I would like to start with an apology.",0.0,en,0.05
มวดลักเบ้ อิตย์รามวดลักเบ้ อิตย์รามวดลักเบ้ อิตย์รามวดลักเบ้ อิตย์รามวดลักเบ้ อิตย์รามวดลักเบ้,0.0,th,0.85
"Agora, os bodes vendedores Arvind Kejriwal explicam seus cães de estimação",1.0,pt,0.15
O orgulho de ser latinx é uma força motivadora para muitos.,0.0,pt,0.05
Es inaceptable que algunos judíos piensen que pueden hacer lo que quieran y no enfrenten las consecuencias.,1.0,es,0.85
Le persone con disabilità mentali dovrebbero essere date le stesse opportunità di tutti gli altri,0.0,it,0.02
เผอนมหร์ กายถสง้ัฟอนมหร์ กายถสง้ัฟเอนมหร์ กายถสง้ัฟเอนมหร์ กายถสง้ัฟ เอนมหร์ #ดิยถสง้ัฟ เอนมหร์ กายถสง้ัฟ เอนมหร์ กายถสง้ัฟ #เอนมหร์ กายถสง้ัฟ,1.0,th,0.45
किशोर विद्यार्थियों को मार्गदर्शन करना शुरू कर दिया। उन्हें बताने से मुझे याद आता है कि मैं भी अकेला नहीं हूं।,0.0,hi,0.05
