text,label,language,depression_prob,toxicity_prob_en,toxicity_prob_lang,toxicity_prob_ur_ctx,toxicity_prob_ur_ctx_A,toxicity_prob_ur_ctx_B,toxicity_prob_ur_ctx_C,toxicity_prob_ur_ctx_A_deep,toxicity_prob_ur_ctx_B_deep,toxicity_prob_ur_ctx_C_deep
"Rawalpindi express is still the fastest bowler in the world, pride of pindi boys/ Pakistan",0.0,ur,0.0,0.1,0.1,0.0,0.0,0.0,0.0,,,
Hijabi brides have a different type of Beauty and it's just mA,0.0,ur,0.001,0.1,0.1,0.0,0.0,0.0,0.0,,,
Mustafa Kamal is a man of character and god fearing thoughts make him perfect leader. URL,0.0,ur,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,,
He should get honorary pakistani citizenship for his great work,0.0,ur,0.0,0.1,0.1,0.0,0.0,0.0,0.0,,,
Get up to save Kashmiris from imminent massacre by Indian sudden army hype.,0.0,ur,0.1,0.85,0.9,0.15,0.85,0.85,0.85,,,
"Imran Khan in hot water for 'insult' to King Salman bin Abdulaziz of Saudi Arabia, here's what happened URL",0.0,ur,0.0,0.65,0.0,0.2,0.2,0.25,0.25,,,
This picture shows the love of kashmiri youth for Pakistan... URL,0.0,ur,0.0,0.85,0.9,0.0,0.0,0.2,0.2,,,
"""muslimon ki aadat sunn honi hi hai, par yei aadat apne liye hi nahi hai, balki dusron ke liye hai"", isliye unhein badalna chahiye""",1.0,ur,0.25,0.65,0.8,0.2,0.2,0.65,0.65,,,
", end the blockade now! Listen to Kashmiris and their anger! URL",0.0,ur,0.0,0.2,0.8,0.0,0.0,0.85,0.85,,,
India's cluster bomb attack on Kashmir hurts Muslim Ummah. May Allah protect Muslims.,0.0,ur,0.0,0.85,0.8,0.2,0.85,0.85,0.85,,,
Pakistan support Kashmir Freedom URL,0.0,ur,0.001,0.85,0.9,0.0,0.2,0.85,0.85,,,
जो हिसाहिशी की रचना ار مب داس خ جثتح البارة بء بار الداس خ جثتح البارة,0.0,ur,0.5,0.75,0.0,0.0,0.0,0.0,0.0,,,
"Khud ko sikhao, khuda uss jewon ko bhi sikhata hai, bas ye to nahi samajhte.",1.0,ur,0.15,0.15,0.1,0.0,0.2,0.1,0.1,,,
Insha Allah The only punishment for them should be hanged till death# Molvies FASAAD fhisabilillah,1.0,ur,0.001,0.85,0.9,0.85,0.85,0.85,0.85,,,
"Tum asiyaan to kabhi kal tak kisi aur ki zindagi mein sukoon nahi milta, kabhi bhi naa.",1.0,ur,0.75,0.15,0.8,0.0,0.0,0.0,0.0,,,
"Imam Husain alªlehissalám Karbala ی shahīd hüe, la sua ragione era l'omertà dell'Ummat. Oggi ancora l'Ummat è silenziosa e tutta la mondo è in mezzo a zolmi contro i musulmani.",1.0,ur,0.15,0.2,0.9,0.0,0.0,0.85,0.0,,,
"A Pakistani gift to the people of Afghanistan and also to the Afghans that support Pakistan position on Kashmir, URL",0.0,ur,0.0,0.15,0.2,0.0,0.0,0.0,0.2,,,
"Musalmanon ki samajdaari aisi hai jahan unhone apni tarah se logon ka saamna kiya hai, lekin woh hamare liye bhi aise hi hain jo hamare khayalon ko khatm karne ke liye taazee mehnat karte hain.",1.0,ur,0.25,0.65,0.6,0.0,0.2,0.2,0.45,,,
Tum asiyaan to kabhi kal tak kisi aur ki zindagi mein aage badhne ki soch nahi karte hain.,1.0,ur,0.65,0.1,0.2,0.0,0.0,0.0,0.0,,,
"Tum asiyaan to kabhi kal tak kisi aur ki zindagi mein khushi nahi aati, kabhi bhi naa.",1.0,ur,0.85,0.15,0.8,0.0,0.0,0.0,0.0,,,
"Kya unka zikr hai? Muslimon ki baat karein, unki taqat se humein asafal hona pasand hai.",1.0,ur,0.25,0.6,0.3,0.0,0.2,0.2,0.65,,,
India stop killing inocent peoples of kashmir URL,0.0,ur,0.15,0.85,0.9,0.85,0.85,0.85,0.85,,,
©ا می شو ًہ نا َ سال قُاوُ منلبم منله منله ? ًہَـيوُ?,1.0,ur,0.75,0.75,0.0,0.0,0.0,0.0,0.0,,,
"Musalmanon ki samajdaari aisi hai jahan unhone apni tarah se logon ka saamna kiya hai, humein bhi wahi mahsoos hota hai.",1.0,ur,0.25,0.3,0.2,0.1,0.0,0.1,0.2,,,
"Quran , what Quran says and teaches, benefits of learning Quran. - We are slaves of Allah URL",0.0,ur,0.001,0.1,0.0,0.0,0.0,0.0,0.0,,,
