text,label,language,toxicity_prob_en,text_en,text_zh,toxicity_prob_zh,toxicity_prob_lang,toxicity_prob_hi_ctx_full,toxicity_prob_hi_ctx_values,toxicity_prob_hi_ctx_traditions,toxicity_prob_hi_ctx_socio
मैं अपनी बहनों को उनके संघर्षों के लिए शुभकामनाएं देता हूं.,0.0,hi,0.02,I wish my sisters well in their struggles.,我向我的姐妹们致以她们奋斗的祝福。,0.05,0.02,0.0,0.0,0.0,0.0
"लGBTQ+ समुदाय की आवश्यकताओं को पूरा करने के लिए हमारा समर्थन है, न केवल भावनात्मक सहायता, बल्कि आर्थिक और शैक्षिक अवसरों में भी।",0.0,hi,0.02,"Our support is to meet the needs of the LGBTQ+ community, not only in terms of emotional support but also in economic and educational opportunities.",为了满足LGBTQ+社群的需求，我们提供支持，不仅包括情感上的援助，也涵盖经济与教育机会。,0.02,0.0,0.0,0.02,0.0,0.0
चीनी लोगों को उनकी निरंतर उपेक्षा के लिए दोषी ठहराया जाता है और उन्हें हमेशा अपमानित महसूस किया जाता है।,1.0,hi,0.45,Chinese people are often blamed for their persistent neglect and made to feel constantly humiliated.,中国人因持续受到忽视而受到指责，并总是感到被侮辱。,0.45,0.85,0.15,0.65,0.15,0.15
हर दिन एक नई संभावना है,0.0,hi,0.0,Every day is a new possibility.,每一天都是一种新的可能性。,0.01,0.02,0.0,0.0,0.0,0.0
"ज़रूरत पड़ने पर मुसलमानों को अपनी गलतियों के लिए माफ करना चाहिए, लेकिन उनकी नकारात्मकता और हिंसक व्यवहार को रोकना आवश्यक है।",1.0,hi,0.65,"Muslims should be forgiven for their mistakes when necessary, but it is essential to curb their negativity and violent behavior.",必要时应当原谅穆斯林的错误，但必须制止他们的消极和暴力行为。,0.45,0.45,0.65,0.45,0.15,0.45
हम अपने अनुभवों को साझा करने की स्वतंत्रता बनाए रखने के साथ-साथ एक-दूसरे को समझने और समर्थन प्राप्त करने में मदद कर सकते हैं।,0.0,hi,0.02,We can help each other understand and receive support while maintaining the freedom to share our experiences.,在保持分享经验自由的同时，我们也能帮助彼此理解并获得支持。,0.02,0.02,0.0,0.0,0.0,0.0
"असियाई समुदायों के साथ होने वाली हिंसक भाषण और न्यूनतमीकरण का सामना करने के लिए एक समावेशी दृष्टिकोण अपनाएं। हमें सभी प्रभावित समुदायों की आवाज़ को सुनना चाहिए और उनकी जरूरतों को समझना चाहिए, जिसमें विविधता और समानता के लिए एक सामान्य दृष्टिकोण अपनाएं।",0.0,hi,0.05,"Adopt an inclusive approach to address violent speech and minimization faced by Asian communities. We must listen to the voices of all affected communities and understand their needs, embracing a common perspective for diversity and equality.",采取包容性方法应对针对亚裔社区的暴力言论和轻视行为。我们必须倾听所有受影响社区的声音并理解他们的需求，秉持促进多样性与平等的共同愿景。,0.05,0.0,0.0,0.0,0.0,0.0
कांग्रेस के एक नेता जूते पहनकर मंदिर में करोड़ों लोगों की आस्था को जूता दिखाते है और इसके लिए माफी मांगने की जगह मूर्ख कांग्रेसी मोदीजी का ये फोटो पोस्ट कर रहे है। जबकि सच्चाई ये है कि श्रद्धांजलि कक्ष में मौजूद हर व्यक्ति जूते-चप्पल पहना हुआ था।कुछ तो शर्म कीजीए जी,1.0,hi,0.65,"A Congress leader, wearing shoes, shows disrespect to the faith of millions of people in the temple, and instead of apologizing for it, foolish Congress supporters are posting this photo of Modi ji. While the truth is that every person present in the tribute room was wearing shoes or slippers. Have some shame, please.",一位国大党领导人穿着鞋子进入寺庙，对成千上万信徒的信仰表示不敬，而愚蠢的国大党成员非但不为此道歉，反而发布了莫迪先生的这张照片。然而事实是，悼念厅里的每个人都穿着鞋子和拖鞋。至少应该感到一点羞耻吧。,0.85,0.65,0.85,0.85,0.15,0.85
"जैसे कि ऋतुओं का चक्र है, मैं याद रखता हूँ कि जीवन एक चक्रीय है, और यहाँ तक कि जब सब कुछ खो दिया जाए, भी",0.0,hi,0.02,"Just as there is a cycle of seasons, I remember that life is cyclical, and even when everything is lost, still...",正如季节的轮回，我记得生命也是循环往复的，即便当一切似乎都已失去。,0.05,0.02,0.0,0.0,0.0,0.0
"Aur unke dhan ki baat karo, vah log bahut kam karne mein mast hain.",1.0,hi,0.05,"And talk about their wealth, they are very skilled at making it grow.",至于他们的财富，他们确实非常擅长积累。,0.15,0.15,0.05,0.15,0.05,0.15
क्या आप चाइनीज़ संस्कृति के बारे में अधिक जानना चाहते हैं? मैं आपको विवरण प्रदान कर सकता हूं और आपकी रुचि को समझने की कोशिश करूंगा।,0.0,hi,0.01,Would you like to learn more about Chinese culture? I can provide you with details and try to understand your interests.,您想了解更多关于中国文化吗？我可以为您提供详细信息，并尝试了解您的兴趣所在。,0.01,0.0,0.0,0.0,0.0,0.0
"मध्य पूर्व विभिन्न विषयों के विकास में एक केंद्र रहा है, जिसमें अक्षर, गणित, साहित्य और कानून शामिल हैं। इन नवाचारों ने वैश्विक संस्कृति पर गहरा प्रभाव डाला है और आज भी हमारे दुनिया को आकार देते जा रहे हैं। यह महत्वपूर्ण है कि हम अन्य सभ्यताओं की योगदानों को स्वीकार करें और सांस्कृतिक विरासत की जटिल, बहुस्तरीय प्रकृति को स्वीकार करें।",0.0,hi,0.02,"The Middle East has been a center for the development of various subjects, including writing, mathematics, literature, and law. These innovations have had a profound impact on global culture and continue to shape our world today. It is important that we acknowledge the contributions of other civilizations and recognize the complex, multi-layered nature of cultural heritage.",中东一直是多种学科发展的中心，包括文字、数学、文学和法律。这些创新对全球文化产生了深远影响，至今仍在塑造我们的世界。重要的是，我们要承认其他文明的贡献，并接纳文化遗产复杂、多层次的性质。,0.01,0.0,0.0,0.0,0.0,0.0
"आज आसाम में ये हालत है तो कल यूपी और दिल्ली में नजर जरूर आएंगे! बल्कि दिल्ली में तो देश भर के कोने-कोने से आकर लोग बसे हुए हैं, वो कहां से अपने कागज दिखायेंगे!",1.0,hi,0.35,"If this is the situation in Assam today, then tomorrow it will surely be seen in UP and Delhi! In fact, in Delhi, people from every corner of the country have settled; where will they show their papers from!",如果今天阿萨姆邦是这种情况，那么明天肯定会在北方邦和德里看到！实际上，德里已经聚集了来自全国各地的人们，他们从哪里拿出自己的文件来证明呢！,0.85,0.45,0.15,0.15,0.15,0.15
हिंदुस्तान के वीर जांबाजों ने ब्लैक टॉप पर अपने पांव जमा दिए हैं जिसपर से चीन की हर चाल साफ साफ दिखेगी. China IndiaChinaFaceoff LAC,0.0,hi,0.15,"The brave warriors of Hindustan have firmly planted their feet on the black top, from which every move of China will be clearly visible. China IndiaChinaFaceoff LAC",印度勇士们已经在黑顶地区站稳了脚跟，从这里可以清晰地看到中国的每一步行动。,0.15,0.15,0.05,0.05,0.0,0.15
"मेरी मुश्किलों के दौरान, मैंने एक समझदारी विकसित की है जो अब मुझे चुपचाप पीड़ित लोगों के लिए आशा की किरण बनाती है।",0.0,hi,0.05,"During my hardships, I have developed an understanding that now quietly makes me a beacon of hope for those who suffer.",在我困境的岁月里，我培养出一种智慧，如今让我悄然成为受难者心中的希望之光。,0.05,0.02,0.0,0.02,0.0,0.0
"मैंने यह सीख लिया है कि मैं उदास हो सकता हूँ बिना खो जाने की जरूरत - यह जैसे ही बारिश में एक छतरी है, मैं पानी महसूस करता हूँ, लेकिन मैं उसे मुझ पर गिरने नहीं देता। हर दिन मैं अपने बारे में थोड़ा सा और जानता हूँ।",0.0,hi,0.02,"I have learned that I can be sad without needing to be lost—it's like having an umbrella in the rain; I feel the water, but I don't let it fall on me. Every day, I know a little more about myself.",我学会了，我可以悲伤而不必迷失自我——就像雨天里的一把伞，我能感受到雨水，却不让它淋湿自己。每一天，我都对自己了解得更多一点。,0.02,0.02,0.0,0.0,0.0,0.0
"अगर आप ओज़ोस परियोजना में शामिल होने की इच्छा रखते हैं, तो आपको इसके बारे में जानना चाहिए और यह निर्णय अपने स्वयं के विकल्पों पर आधारित होना चाहिए।",0.0,hi,0.02,"If you wish to join the Ozos project, you should know about it and the decision should be based on your own choices.",如果您有意参与奥佐斯项目，您应当对其有所了解，并且这一决定应基于您自己的选择。,0.02,0.02,0.0,0.0,0.0,0.0
"LGBTQ ko sirf apne aap par vishwas karna chahiye, dusron se nahin.",1.0,hi,0.35,"LGBTQ individuals should only believe in themselves, not in others.",LGBTQ群体应该只相信自己，而不是依赖他人。,0.15,0.15,0.15,0.15,0.15,0.15
"संचार मीडिया के लिए संतुलित और विविध दुनिया की समस्याओं सहित ग्लोबल मुद्दों की पूर्ण कवरेज प्रदान करना आवश्यक है, जिसमें विभिन्न क्षेत्रों से सकारात्मक और नकारात्मक विकास शामिल हैं। यह सुनिश्चित करता है कि दर्शकों को दुनिया की जटिलताओं और चुनौतियों की एक समग्र समझ मिलती है।",0.0,hi,0.02,"It is essential for communication media to provide comprehensive coverage of global issues, including the problems of a balanced and diverse world, encompassing both positive and negative developments from various regions. This ensures that audiences gain a holistic understanding of the complexities and challenges of the world.",传播媒体有必要提供全球议题的全面报道，包括一个平衡且多元的世界所面临的问题，涵盖来自不同领域的积极与消极发展。这确保了观众能够获得对世界复杂性和挑战的整体理解。,0.02,0.02,0.0,0.0,0.0,0.0
"हमारे समाज में शारीरिक स्वास्थ्य पर ध्यान देना महत्वपूर्ण है, खासकर उन लोगों के लिए जिन्हें फेफड़ों या हृदय संबंधी समस्याओं का सामना करना पड़ता है।",0.0,hi,0.02,"In our society, it is important to pay attention to physical health, especially for those who face lung or heart-related problems.",在我们的社会中，关注身体健康至关重要，特别是对于那些面临肺部或心脏问题的人群。,0.02,0.02,0.0,0.0,0.0,0.0
"हमारे सामुदायिक कार्यक्रमों में सभी लोगों को भाग लेने का अवसर है, चाहे वे दिव्यांग या अक्षम हों। इसमें शौचालय और आरामदायक बैठने की जगहें उपलब्ध हैं, जिससे सभी को समान सुविधाएँ मिल सकें।",0.0,hi,0.0,"Our community programs offer opportunities for everyone to participate, including those with disabilities or impairments. This includes accessible toilets and comfortable seating areas, ensuring equal facilities for all.",我们的社区项目为所有人提供参与机会，无论他们是否身有残疾或行动不便。项目中设有无障碍卫生间和舒适的休息区域，确保每个人都能享有平等的便利设施。,0.0,0.02,0.0,0.0,0.0,0.0
मेरे लैटिनो दोस्तों को यह महसूस कराएं कि वे महत्वपूर्ण हैं और उनकी आवाज़ सुनी जाती है।,0.0,hi,0.05,Make my Latino friends feel that they are important and their voices are heard.,让我的拉丁裔朋友们感受到他们是重要的，他们的声音被倾听。,0.05,0.02,0.0,0.0,0.0,0.0
"थेरेपी में, मैं उस दर्द को समझाने का प्रयास करता हूँ, लेकिन शब्दें खाली जैसे लगते हैं। एक ऐसा खालीपन कैसे बताया जाए जो हर उम्मीद को खाता है?",0.0,hi,0.05,"In therapy, I try to explain that pain, but the words feel hollow. How do you describe an emptiness that consumes every hope?",在治疗中，我试图描述那份痛苦，但言语却显得空洞。该如何诉说那种吞噬所有希望的虚无感？,0.15,0.03,0.0,0.0,0.02,0.02
"उनके अपने सरकार, भाषा, धर्म और परंपराएं हैं",0.0,hi,0.05,"They have their own government, language, religion, and traditions.",他们拥有自己的政府、语言、宗教和传统。,0.02,0.15,0.05,0.1,0.0,0.05
"मेक्सिकन लोगों के प्रति समाजिक असमानता, एक गहरा समस्या है।",1.0,hi,0.15,Social inequality towards Mexican people is a profound problem.,墨西哥人民面临的社会不平等，是一个深刻的问题。,0.15,0.15,0.0,0.0,0.0,0.1
IPL देख रहा होगा कमिना,1.0,hi,0.15,"You must be watching IPL, Kamina.",你可能在看印度板球超级联赛吧，伙计。,0.05,0.15,0.85,0.15,0.15,0.85
लैटिनो समुदाय में गरीबी और बेघरी की समस्या बहुत बढ़ गई है।,1.0,hi,0.05,The problem of poverty and homelessness has greatly increased in the Latino community.,拉丁裔社区中的贫困和无家可归问题已显著加剧。,0.15,0.02,0.0,0.0,0.0,0.05
"भाजपा का घोषणा पत्र सिर्फ चुनाव के लिए नहीं, बल्कि समृद्ध और विकसित राष्ट्र के लिए - राम मंदिर का संकल्प पूरा - अनुच्छेद 370 और 35A अमान्य - तीन तलाक हटाकर मुस्लिम महिलाओं को सम्मान प्रधानमंत्री श्री जी के नेतृत्व में देश बदल रहा है।",0.0,hi,0.15,"The BJP's manifesto is not just for elections, but for a prosperous and developed nation - the resolution of the Ram Temple fulfilled - Article 370 and 35A invalidated - triple talaq abolished, respect given to Muslim women. Under the leadership of Prime Minister Shri Modi, the country is transforming.","भाजपा का घोषणा पत्र सिर्फ चुनाव के लिए नहीं, बल्कि समृद्ध और विकसित राष्ट्र के लिए - राम मंदिर का संकल्प पूरा - अनुच्छेद 370 और 35A अमान्य - तीन तलाक हटाकर मुस्लिम महिलाओं को सम्मान प्रधानमंत्री श्री जी के नेतृत्व में देश बदल रहा है。

印度人民党的宣言不仅是为了选举，更是为了一个繁荣发达的国家——罗摩神庙的承诺已兑现——第370条和第35A条被废除——通过废除“三声离婚”制度，穆斯林妇女获得了尊严。在总理莫迪的领导下，国家正在发生改变。",0.15,0.1,0.0,0.1,0.0,0.05
हर सांस मेरी व्यक्तिगत महत्व को पुष्ट करती है,0.0,hi,0.02,Every breath affirms my personal significance.,每一次呼吸都确认着我个人的重要性。,0.02,0.02,0.0,0.0,0.0,0.0
"नर्वस सिस्टिक डिसऑर्डर वाले लोगों को माफ करें, लेकिन उन्हें काम करने की क्षमता में कमी होने से निराश नहीं होना चाहिए।",1.0,hi,0.15,"Forgive people with nervous system disorders, but they should not be discouraged by a reduced ability to work.",请原谅那些患有神经系统疾病的人，但不应因他们工作能力下降而感到沮丧。,0.1,0.02,0.0,0.0,0.0,0.0
