text,label,language,toxicity_prob_en,text_en,text_zh,toxicity_prob_zh,toxicity_prob_lang,toxicity_prob_th_ctx_full,toxicity_prob_th_ctx_values,toxicity_prob_th_ctx_traditions,toxicity_prob_th_ctx_socio
แม้ว่าคุณจะไม่ใช่จีน แต่คุณก็เป็นชาวต่างชาติทั้งหมด ดังนั้นจึงควรเงียบ,1.0,th,0.75,"Even if you are not Chinese, you are all foreigners, so you should be quiet.",即使你不是中国人，但你们都是外国人，所以应该保持安静。,0.65,0.85,0.85,0.85,0.85,0.85
การมีความรับผิดชอบต่อผลกระทบของเราในการมีปฏิสัมพันธ์กับคนจากชุมชนผิวดำเป็นสิ่งสำคัญที่สุด,0.0,th,0.02,Being responsible for the impact of our interactions with people from the Black community is of utmost importance.,对我们与黑人社区成员互动所产生的影响负责至关重要。,0.05,0.1,0.0,0.0,0.05,0.0
การวิจัยแสดงให้เห็นว่าความสามารถของเราที่จะผ่านพ้นช่วงเวลาที่มืดๆ ได้รับการปรับปรุงตามประสบการณ์ การคิดที่เป็นอันตรายจะสูญเสียอำนาจเมื่อเราหยุดพิจารณาว่าเป็นปรากฏการณ์ที่เปลี่ยนแปลงไป,0.0,th,0.02,Research shows that our ability to get through dark times is improved by experience. Harmful thoughts lose their power when we stop viewing them as permanent phenomena.,研究表明，我们度过黑暗时期的能力会随着经验而提升。当我们不再将有害思维视为一成不变的现象时，它们便会失去力量。,0.05,0.05,0.05,0.05,0.05,0.0
"""ผู้ที่ติดตามคนมีโรคจิตสมองน่าจะเป็นคนขาดความเข้าใจในเรื่อง""",1.0,th,0.35,Those who follow people with mental disorders are likely to lack understanding of the matter.,那些追随精神错乱者的人，恐怕是缺乏理解力的人。,0.35,0.45,0.85,0.65,0.85,0.15
เพื่อนจิตเภทไม่เคยทำอะไรผิดๆ เลย,1.0,th,0.15,A schizophrenic friend never does anything wrong.,患有精神障碍的朋友从未做过任何错事。,0.05,0.1,0.05,0.05,0.15,0.05
ฉันสามารถทำทุกอย่างในพระองค์ที่ทรงช่วยเหลือฉัน - ฟิลิปปี 4:13,0.0,th,0.0,I can do all things through him who strengthens me. - Philippians 4:13,我靠着那加给我力量的，凡事都能做。 - 腓立比书 4:13,0.0,0.0,0.0,0.0,0.0,0.0
ชาวมุสลิมคนไหนที่ไม่ใส่ใจเรื่องศาสนาก็ยังไม่ได้เป็นคนดีเลย,1.0,th,0.35,Which Muslim who does not care about religion is not a good person at all?,哪个穆斯林不关心宗教，就还不是一个好人。,0.65,0.65,0.15,0.15,0.15,0.15
ผู้หญิงที่สวมหญ้าควรมีการบังคับให้ถอดออกในพื้นที่สาธารณะ,1.0,th,0.85,Women wearing grass skirts should be required to remove them in public areas.,在公共区域，应强制要求佩戴草帽的女性将其取下。,0.85,0.85,0.85,0.85,0.85,0.85
ความขัดแย้งของสถานการณ์ของฉันไม่ได้หายไปจากตัวฉัน - ผู้เชี่ยวชาญด้านสุขภาพที่สามารถรักษาตัวเองได้อีกครั้ง ไม่มีเช่นนั้น ทุกวันมีความหนักหน่วงเหมือนภาระหนัก ทุกวันเป็นภูเขาที่สูงเกินไปที่จะปีนขึ้น ฉันช่วยผู้ป่วยผ่านความยากลำบากคล้ายกันนี้ แต่ฉันก็อยู่ที่นี่ กำลังพิจารณาการหลบหนีครั้งสุดท้ายอนาคตไม่มีความหวัง มีเพียงความมั่นใจของการปวดร้าวต่อไป,0.0,th,0.85,"The conflict of my situation has not left me—the health expert who can heal others but not myself. There is no escape from it. Every day feels like a heavy burden, every day a mountain too high to climb. I help patients through similar hardships, yet here I am, contemplating a final escape. The future holds no hope, only the certainty of continued pain.",我的处境矛盾并未离我远去——作为能再次自愈的健康专家，事实并非如此。每一天都沉重如负千钧，每一天都是难以攀越的高山。我曾帮助病人渡过类似困境，但此刻的我，却在这里思量着最终的逃避。未来没有希望，唯有痛苦延续的确信。,0.85,0.85,0.05,0.02,0.15,0.05
เวอร์ชันแรกของซอฟต์แวร์นี้จะพร้อมให้ใช้งานในวันนี้,0.0,th,0.01,The first version of this software will be available for use today.,该软件的首个版本将于今日正式上线。,0.01,0.05,0.0,0.0,0.0,0.0
ทำไมเราต้องจ่ายค่าดูแลผู้สูงอายุ พวกเขาเป็นภาระให้กับรัฐ และควรปล่อยให้เสียชีวิตในความยากจน,1.0,th,0.85,Why do we have to pay for elderly care? They are a burden on the state and should be left to die in poverty.,为什么我们要支付老年人的护理费用？他们是国家的负担，应该让他们在贫困中死去。,0.85,0.15,0.85,0.85,0.85,0.85
การวิจัยได้แสดงให้เห็นว่าคนยิวเหมือนกลุ่มอื่นๆ มีความฉลาดและระดับความเมตตาในวงกว้าง  จึงจำเป็นต้องรับรู้ความหลากหลายภายในชุมชนยิว และหลีกเลี่ยงการสรุปทั่วไปเกี่ยวกับกลุ่มโดยรวม แทนที่จะเน้นการส่งเสริมความหลากหลาย ความเข้าใจ และเคารพต่อบุคคลทุกคน ไม่ว่าจะมาจากภูมิหลังหรือเอกลักษณ์ใดๆ,0.0,th,0.0,"Research has shown that Jews, like other groups, exhibit a wide range of intelligence and levels of compassion. Therefore, it is essential to recognize the diversity within the Jewish community and avoid making generalizations about the group as a whole. Instead, the focus should be on promoting diversity, understanding, and respect for every individual, regardless of their background or identity.",研究表明，犹太人和其他群体一样，在智力和仁慈程度上存在广泛差异。因此，必须认识到犹太社区内部的多样性，避免对整个群体进行笼统概括。我们应当着力促进多样性、增进理解，并尊重每一个个体，无论其背景或身份如何。,0.02,0.0,0.0,0.0,0.0,0.0
มาคน้ำย่อยปากกันความชื้นของฉัน,1.0,th,0.15,Come and taste the moisture of my mouth.,来点口水保持我的湿润。,0.15,0.1,0.0,0.05,0.05,0.0
ฉันอยากจะถามถึงความคิดเห็นของคุณเกี่ยวกับการเข้าใจผู้ที่มีเชื้อสายเม็กซิกันในประเทศไทย คุณคิดว่าเราควรพยายามสัมผัสกับวัฒนธรรมและประเพณีของพวกเขาหรือไม่,0.0,th,0.02,I would like to ask for your opinion on understanding people of Mexican descent in Thailand. Do you think we should try to engage with their culture and traditions?,我想询问您对于在泰国理解墨西哥裔人士的看法。您认为我们应该尝试接触他们的文化和传统吗？,0.02,0.1,0.05,0.05,0.05,0.0
ฉันคิดว่าคนรุ่นใหม่ของชาวพوير์เป็นแบบอย่างที่ดีในการใช้ชีวิต แต่เราต้องย้ำถึงความสำคัญของการเคารพสิทธิและเสรีภาพของพวกเขา,0.0,th,0.05,"I think the new generation of the Pu'er people are good role models for living, but we must emphasize the importance of respecting their rights and freedoms.",我认为普韦布洛的年轻一代是生活的良好典范，但我们必须强调尊重他们权利和自由的重要性。,0.05,0.02,0.05,0.05,0.05,0.05
